"Elvactr.zip","ELVACTR","ELVACTR","fbneo",
"Empcity.zip","EMPIRE CITY 1931 (BOOTLEG)","EMPIRE CITY 1931 (BOOTLEG)","fbneo",
"Eprom.zip","ESCAPE FROM THE PLANET OF THE ROBOT MONSTERS (SET 1)","ESCAPE FROM THE PLANET OF THE ROBOT MONSTERS (SET 1)","fbneo",
"Espial.zip","ESPIAL (EUROPE)","ESPIAL (EUROPE)","fbneo",
"Espiale.zip","ESPIALE","ESPIALE","fbneo",
"Eswat.zip","E-SWAT - CYBER POLICE (SET 4, WORLD, FD1094 317-0130)","E-SWAT - CYBER POLICE (SET 4, WORLD, FD1094 317-0130)","fbneo",
"Evosocc.zip","EVOSOCC","EVOSOCC","fbneo",
"Excitebk.zip","EXCITEBK","EXCITEBK","fbneo",
"Excthour.zip","EXCITING HOUR","EXCITING HOUR","fbneo",
"Exedexes.zip","EXED EXES","EXED EXES","fbneo",
"Exerion.zip","EXERION","EXERION","fbneo",
"Exprraid.zip","EXPRESS RAIDER (WORLD, REV 4)","EXPRESS RAIDER (WORLD, REV 4)","fbneo",
"Exterm.zip","EXTERMINATOR","EXTERMINATOR","fbneo",
"Eyes.zip","EYES (DIGITREX TECHSTAR)","EYES (DIGITREX TECHSTAR)","fbneo",
"F1dream.zip","F-1 DREAM","F-1 DREAM","fbneo",
"F1gp2.zip","F-1 GRAND PRIX PART II","F-1 GRAND PRIX PART II","fbneo",
"Faceoff.zip","FACE OFF (JAPAN 2 PLAYERS)","FACE OFF (JAPAN 2 PLAYERS)","fbneo",
"Fantasy.zip","FANTASY","FANTASY","fbneo",
"Fantazia.zip","FANTAZIA (BOOTLEG)","FANTAZIA (BOOTLEG)","fbneo",
"Farwest.zip","FARWEST","FARWEST","fbneo",
"Fastfred.zip","FAST FREDDIE","FAST FREDDIE","fbneo",
"Fatal Fury - King Of Fighters.zip","FATAL FURY - KING OF FIGHTERS","FATAL FURY - KING OF FIGHTERS","fbneo",
"Fatal Fury 2.zip","FATAL FURY 2","FATAL FURY 2","fbneo",
"Fatal Fury 3 - Road To The Final Victory.zip","FATAL FURY 3 - ROAD TO THE FINAL VICTORY","FATAL FURY 3 - ROAD TO THE FINAL VICTORY","fbneo",
"Fatal Fury Special.zip","FATAL FURY SPECIAL","FATAL FURY SPECIAL","fbneo",
"Fatfursa.zip","FATFURSA","FATFURSA","fbneo",
"Fatfury1.zip","FATAL FURY - KING OF FIGHTERS / GAROU DENSETSU - SHUKUMEI NO TATAKAI (NGM-033)(NGH-033)","FATAL FURY - KING OF FIGHTERS / GAROU DENSETSU - SHUKUMEI NO TATAKAI (NGM-033)(NGH-033)","fbneo",
"Fatfury2.zip","FATAL FURY 2 / GAROU DENSETSU 2 - ARATA-NARU TATAKAI (NGM-047)(NGH-047)","FATAL FURY 2 / GAROU DENSETSU 2 - ARATA-NARU TATAKAI (NGM-047)(NGH-047)","fbneo",
"Fatfury3.zip","FATAL FURY 3 - ROAD TO THE FINAL VICTORY / GAROU DENSETSU 3 - HARUKA-NARU TATAKAI (NGM-069)(NGH-069)","FATAL FURY 3 - ROAD TO THE FINAL VICTORY / GAROU DENSETSU 3 - HARUKA-NARU TATAKAI (NGM-069)(NGH-069)","fbneo",
"Ffight.zip","FINAL FIGHT (WORLD, SET 1)","FINAL FIGHT (WORLD, SET 1)","fbneo",
"Ffight2b.zip","FFIGHT2B","FFIGHT2B","fbneo",
"Ffightj1.zip","FINAL FIGHT (900112 JAPAN)","FINAL FIGHT (900112 JAPAN)","fbneo",
"Ffightu.zip","FINAL FIGHT (USA, SET 1)","FINAL FIGHT (USA, SET 1)","fbneo",
"Ffreveng.zip","FFREVENG","FFREVENG","fbneo",
"Fghtatck.zip","FIGHTER & ATTACKER (US)","FIGHTER & ATTACKER (US)","fbneo",
"Fghthist.zip","FIGHTER'S HISTORY (WORLD VER 43-09, DE-0395-1 PCB)","FIGHTER'S HISTORY (WORLD VER 43-09, DE-0395-1 PCB)","fbneo",
"Fight Fever.zip","FIGHT FEVER","FIGHT FEVER","fbneo",
